_key,학교명,시도,행정구,학교급,등급,유형,점수,n0,n1,y,초과순전출,코호트,위도,경도
233031536,인천중학교,인천,연수구,중학교,2,순전출형,90.2,216,155,-0.2824074074074074,0.0031563810080920346,0.7701149425287356,37.42145747,126.6889356
233031542,청량중학교,인천,연수구,중학교,5,비위험,46.0,938,905,-0.035181236673773986,0.006354675251162397,0.9182389937106918,37.41044031,126.6735294
233031568,청학중학교,인천,연수구,중학교,2,인구감소형,92.5,295,254,-0.13898305084745763,-0.02057243255123,0.6864406779661016,37.41850497,126.6704884
233031587,인천고잔중학교,인천,남동구,중학교,5,비위험,11.9,791,778,-0.01643489254108723,0.005333694329017185,1.152,37.39602955,126.7318796
233031695,함박중학교,인천,연수구,중학교,4,비위험,66.7,211,203,-0.037914691943127965,-0.001582955484798961,1.1147540983606556,37.42443194,126.6615319
233031696,석정중학교,인천,남동구,중학교,5,비위험,46.1,555,550,-0.009009009009009009,-0.00945884789715336,0.9183673469387755,37.46921025,126.6937555
233031697,능허대중학교,인천,연수구,중학교,5,비위험,1.1,1041,1045,0.0038424591738712775,0.007959454975431133,1.047337278106509,37.37353727,126.6578118
233031698,신송중학교,인천,연수구,중학교,5,비위험,13.0,1261,1268,0.0055511498810467885,-0.0008087260497985282,1.0095693779904307,37.38938908,126.6566575
233031699,박문중학교,인천,연수구,중학교,5,비위험,0.4,729,766,0.05075445816186557,-0.021534977016599323,1.2256637168141593,37.38565091,126.6723684
233031701,인천논현중학교,인천,남동구,중학교,5,비위험,11.9,1062,1016,-0.04331450094161959,0.006222935581240287,1.099706744868035,37.40859026,126.7328625
233031702,인천성리중학교,인천,남동구,중학교,5,비위험,48.5,845,793,-0.06153846153846154,-0.005801936547934318,1.062043795620438,37.44498465,126.7098073
233031703,인천동방중학교,인천,남동구,중학교,4,비위험,63.7,918,829,-0.09694989106753812,0.015177553209835984,0.8507462686567164,37.40431576,126.7192593
233031704,인천정각중학교,인천,남동구,중학교,5,비위험,13.0,782,779,-0.0038363171355498722,-0.009924274961045898,1.0038461538461538,37.45561561,126.7167721
233031705,인천서창중학교,인천,남동구,중학교,5,비위험,11.9,804,789,-0.018656716417910446,0.005211045877218027,1.062015503875969,37.43371946,126.7498088
233031706,인천해송중학교,인천,연수구,중학교,4,비위험,60.5,886,877,-0.010158013544018058,-0.005872964364368461,0.7841269841269841,37.37990415,126.6484699
233031800,숭덕여자중학교,인천,남동구,중학교,5,비위험,5.9,354,341,-0.03672316384180791,0.009047794338302434,1.1559633027522935,37.46428211,126.7339171
233031976,인천현송중학교,인천,연수구,중학교,5,비위험,49.5,1191,1253,0.052057094878253565,-0.09172187256033786,1.678082191780822,37.39296312,126.6197175
234021026,인천단봉초등학교,인천,서구,초등학교,5,비위험,11.2,734,700,-0.04632152588555858,0.02144361400439913,0.9032258064516129,37.59843764,126.6377448
234021038,인천한별초등학교,인천,서구,초등학교,5,비위험,3.1,1599,1561,-0.023764853033145718,-0.007122434598866193,1.1339285714285714,37.59736864,126.7066138
234021085,인천도담초등학교,인천,서구,초등학교,5,비위험,49.0,488,440,-0.09836065573770492,-0.0030907139537908897,0.660377358490566,37.52782132,126.6439914
234021086,인천가원초등학교,인천,서구,초등학교,5,비위험,14.3,1558,1436,-0.07830551989730423,-0.009903778201775905,0.7885304659498208,37.52921844,126.6641213
234021107,인천해든초등학교,인천,서구,초등학교,5,비위험,3.2,1668,1657,-0.006594724220623501,0.02019229898012427,1.146341463414634,37.58528544,126.7076761
234021108,인천가석초등학교,인천,서구,초등학교,4,비위험,70.4,209,200,-0.0430622009569378,0.07277798163017649,0.4878048780487805,37.51475728,126.6796755
234021112,인천가현초등학교,인천,서구,초등학교,5,비위험,0.7,2044,2089,0.02201565557729941,2.917312073350822e-05,1.124113475177305,37.52231349,126.6684961
234021116,인천가정초등학교,인천,서구,초등학교,5,비위험,35.7,664,644,-0.030120481927710843,0.020585959954958863,0.7931034482758621,37.49166135,126.6884322
